run,removed_count,retained_count,fit_max,fit_mean,heldout_max,heldout_mean,heldout_converged
random_44,25,272,0.04949998134548794,0.04458835518294669,0.04606663331470444,0.037972726281451506,True
random_44,26,271,0.04949998134548794,0.04458835518294669,0.04606663331470444,0.037972726281451506,True
random_44,27,270,0.04949998134548794,0.04458835518294669,0.04606663331470444,0.037972726281451506,True
random_44,28,269,0.048563117150850425,0.03680062042748794,0.0441830064856279,0.030119917447374134,True
random_44,29,268,0.04832495102092981,0.0355594357496676,0.036764911554334076,0.027929537198314352,True
random_44,30,267,0.04379007631510816,0.037762438197072735,0.04115268957356732,0.03237428974066219,True
random_44,31,266,0.04909760733594848,0.04262677360708831,0.04840489262053231,0.037975888252597595,True
random_44,32,265,0.04999395247557937,0.043120411923930534,0.04959589597959616,0.03887502027247513,True
random_44,33,264,0.04618196669860529,0.03947132840137726,0.04395733452643345,0.03454976130390649,True
random_44,34,263,0.04904568563077152,0.04076529602930005,0.04711993442099771,0.03692348266859911,True
random_44,35,262,0.04991297112828113,0.04154469985519165,0.048483925995228154,0.03813125659341166,True
random_44,36,261,0.04991297112828113,0.04154469985519165,0.048483925995228154,0.03813125659341166,True
random_44,37,260,0.04991297112828113,0.04154469985519165,0.048483925995228154,0.03813125659341166,True
random_44,38,259,0.04991297112828113,0.04154469985519165,0.048483925995228154,0.03813125659341166,True
random_44,39,258,0.04993881560878493,0.04182202202279454,0.048898620072680324,0.038442051910820514,True
